pk,model,name,kor_name
481,perfumes.note,juniper berries,주니퍼 베리즈
482,perfumes.note,kadam,카담
483,perfumes.note,kaffir lime,카피어 라임
484,perfumes.note,kanuka,카누카
485,perfumes.note,karo-karounde,카로-카룬드
486,perfumes.note,katrafay,카트라페이
487,perfumes.note,katsura leaf,카츠라 리프
488,perfumes.note,kephalis,케펠리스
489,perfumes.note,khella,켈라
490,perfumes.note,kir royal,키르 로얄
491,perfumes.note,kiwi,키위
492,perfumes.note,kiwi blossom,키위 블라썸
493,perfumes.note,kowhai,코하이
494,perfumes.note,kudzu,커드주
495,perfumes.note,kulfi,컬피
496,perfumes.note,kumbaru,컴바루
497,perfumes.note,kumquat,컴쾃
498,perfumes.note,labdanum,라다넘
499,perfumes.note,laburnum,래버넘
500,perfumes.note,lady of the night flower,레이티 오브 더 나이트 플라워
501,perfumes.note,lady slipper orchid,레이디 슬리퍼 오키드
502,perfumes.note,lamduan flower,람 두안 플라워
503,perfumes.note,laminaria,라미나리아
504,perfumes.note,lamprocapnos,람프로카프노스
505,perfumes.note,lantana,란타나
506,perfumes.note,lantana leaf,란타나 리프
507,perfumes.note,laotian oud,라오 우드
508,perfumes.note,larch,라치
509,perfumes.note,larkspur,락스퍼
510,perfumes.note,laurel blossom,로렐 블로섬
511,perfumes.note,lava,라바
512,perfumes.note,lavender,라벤더
513,perfumes.note,leather,레더
514,perfumes.note,leatherwood,레더우드
515,perfumes.note,lemon,레몬
516,perfumes.note,lemon balm,레먼 밤
517,perfumes.note,lemon blossom,레몬 블로섬
518,perfumes.note,lemon tree,레몬 트리
519,perfumes.note,lemon verbena,레몬 버베나
520,perfumes.note,lemon zest,레몬 버비너
521,perfumes.note,lemonade,레몬에이드
522,perfumes.note,lemongrass,레몬그라스
523,perfumes.note,liatris,리아트리스
524,perfumes.note,lichen,라이컨
525,perfumes.note,licorice,리커리시
526,perfumes.note,lilac,라일락
527,perfumes.note,lily,릴리
528,perfumes.note,lily of the valley leaves,릴리 오브 더 밸리 리브즈
529,perfumes.note,lily-of-the-valley,릴리 오브 더 밸리
530,perfumes.note,lime,라임
531,perfumes.note,lime (linden) blossom,라임 (린던) 블라섬
532,perfumes.note,limetta,리메타
533,perfumes.note,limnophila aromatica,림노필라 아로마티카
534,perfumes.note,limoncello,리몬 첼로
535,perfumes.note,linaloe berry,리날로 베리
536,perfumes.note,linen,리넨
537,perfumes.note,lingonberry,린곤베리
538,perfumes.note,lip gloss,립 그로스
539,perfumes.note,lipstick,립스틱
540,perfumes.note,liquor,liquor
541,perfumes.note,litchi,리치
542,perfumes.note,litsea cubeba,리시 쿠베나
543,perfumes.note,longan berries,랑건 베리즈
544,perfumes.note,lorenox,로레녹스
545,perfumes.note,lotus,로터스
546,perfumes.note,loukhoum,로쿰
547,perfumes.note,lovage root,로바지 루트
548,perfumes.note,lupin,루핀
549,perfumes.note,lydia broom,리디아 블룸
550,perfumes.note,macadamia,매커데이미어
551,perfumes.note,macarons,마카롱
552,perfumes.note,mace,메이스
553,perfumes.note,madeira,머디어러
554,perfumes.note,magnolan,마그놀란
555,perfumes.note,magnolia,마그놀리아
556,perfumes.note,mahogany,마호가니
557,perfumes.note,mahonia,마호니아
558,perfumes.note,mahonial,마호니알
559,perfumes.note,mai tai cocktail,마이타이 캌테일
560,perfumes.note,malt,몰트
561,perfumes.note,malva,말바
562,perfumes.note,mandarin orange,만다린 오렌지
563,perfumes.note,mandarin orange blossom,만다린 오렌지 블라섬
564,perfumes.note,mandora,만도라
565,perfumes.note,mango,망고
566,perfumes.note,mango blossom, 블라섬
567,perfumes.note,mangosteen,망고스틴
568,perfumes.note,maninka,마닌카
569,perfumes.note,manuka,마누카
570,perfumes.note,maple,메이플
571,perfumes.note,maple syrup,메이플 시럽
572,perfumes.note,maraschino cherry,마라스키노 체리
573,perfumes.note,marian plum,마리안 플럼
574,perfumes.note,marigold,매리골드
575,perfumes.note,mariposa lily,마리포사 릴리
576,perfumes.note,marjoram,마조람
577,perfumes.note,marmalade,마멀레이드
578,perfumes.note,marron glace,마론 글래스
579,perfumes.note,marshmallow,마시멜로우
580,perfumes.note,martini,마티니
581,perfumes.note,marzipan,마지팬
582,perfumes.note,masala chai,마살라 차이
583,perfumes.note,massoia,마소이아
584,perfumes.note,mastic or lentisque,렌티스크
585,perfumes.note,matcha tea,마차 티
586,perfumes.note,mate,메이트
587,perfumes.note,mayflower,메이플라워
588,perfumes.note,meadowsweet,메도스위트
589,perfumes.note,meat,미트
590,perfumes.note,melati,멜라티
591,perfumes.note,melilot or sweet clover,메럴랏
592,perfumes.note,melilotus,멜리로투스
593,perfumes.note,melon,멜론
594,perfumes.note,meringues,머랭
595,perfumes.note,mesquite wood,메스키트 우드
596,perfumes.note,metallic notes,메탈릭 노트
597,perfumes.note,methyl pamplemousse,메탈리 팜플무스
598,perfumes.note,mignonette,미그넷
599,perfumes.note,milk,밀크
600,perfumes.note,milk mousse,밀크 마우스
601,perfumes.note,mimosa,미모사
602,perfumes.note,mimusops elengi,미무소프스 에렌기
603,perfumes.note,mineral notes,미네랄 노트
604,perfumes.note,mint,민트
605,perfumes.note,mirabelle,미라벨
606,perfumes.note,mirabilis,미라빌리스
607,perfumes.note,mistletoe,미슬토
608,perfumes.note,mitti attar,미티 애터
609,perfumes.note,mock orange,목 오렌지
610,perfumes.note,moepel accord,모에펠 어코드
611,perfumes.note,mojito,모히토
612,perfumes.note,molasses,몰레시즈
613,perfumes.note,molasses,몰레시즈
614,perfumes.note,monarda,모나르다
615,perfumes.note,monoi oil,모노이 오일
616,perfumes.note,mopane,모판
617,perfumes.note,morning glory flower,모닌글로리 플라워
618,perfumes.note,motor oil,모터 오일
619,perfumes.note,mountain air,마운틴 에어
620,perfumes.note,mugane,무겐
621,perfumes.note,muhuhu,무후누
622,perfumes.note,mulberry,멀베리
623,perfumes.note,mushroom,머쉬룸
624,perfumes.note,musk,머스크
625,perfumes.note,mustard seed,머스타드 시드
626,perfumes.note,myrica,미리카
627,perfumes.note,myrrh,미르라
628,perfumes.note,myrtle,미르틀
629,perfumes.note,nag champa,내그 참파
630,perfumes.note,narcissus,나르키소스
631,perfumes.note,nashi pear,나시 피어
632,perfumes.note,nasturcia,나스투시아
633,perfumes.note,naturalcalm,네이처캄
634,perfumes.note,nectarine,넥터린
635,perfumes.note,nectarine blossom,넥터린 블라섬
636,perfumes.note,neem,님
637,perfumes.note,neoprene,니어프린
638,perfumes.note,nerium oleander,네리움 올린더
639,perfumes.note,neroli,네럴리
640,perfumes.note,nettle,네틀
641,perfumes.note,nigella,나이젤러
642,perfumes.note,night blooming cereus,나잇 블라섬 시어러스
643,perfumes.note,night blooming jasmine,나잇 블라섬 자스민
644,perfumes.note,nootka,누트카
645,perfumes.note,nougat,누갓
646,perfumes.note,nutmeg,넛메그
647,perfumes.note,oak,오크
648,perfumes.note,oak leaves,오크 리브즈
649,perfumes.note,oakmoss,오크모스
650,perfumes.note,oat,오트
651,perfumes.note,oily notes,오일리 노트
652,perfumes.note,olibanum (frankincense),올리프밤
653,perfumes.note,olive,올리브
654,perfumes.note,olive flower,올리브 플라워
655,perfumes.note,olive leaf,올리브 리프
656,perfumes.note,olive tree,올리브 트리
657,perfumes.note,oolong tea,우롱 티
658,perfumes.note,opium,오피엄
659,perfumes.note,opoponax,오포 파낙스
660,perfumes.note,orange,오렌지
661,perfumes.note,orange blossom,오렌지 블라섬
662,perfumes.note,orange cassia tree,오렌지 카시아 트리
663,perfumes.note,orchard blossom,오처드 블라섬
664,perfumes.note,orchid,오키드
665,perfumes.note,orchid cactus,오키드 캑터스
666,perfumes.note,orchid leaf,오키드 리프
667,perfumes.note,oregano,오레가노
668,perfumes.note,oriental notes,오리엔탈 노트
669,perfumes.note,orris root,오리스 루트
670,perfumes.note,osmanthus,오스만터스
671,perfumes.note,oysters,오이스터스
672,perfumes.note,ozonic notes,오존익 노트
673,perfumes.note,palisander rosewood,팔리센터 로즈우드
674,perfumes.note,palm leaf,팜 리프
675,perfumes.note,palmarosa,팜마로사
676,perfumes.note,palo santo,팔로 산토
677,perfumes.note,pandanus,판데너스
678,perfumes.note,panna cotta,파나 코타
679,perfumes.note,pansy,판시
680,perfumes.note,papaya,파파야
681,perfumes.note,papaya blossom,파파야 블라섬
682,perfumes.note,paper,페이퍼
683,perfumes.note,paperbark,페이퍼바크
684,perfumes.note,papyrus,파피러스
685,perfumes.note,para-cresyl phenyl acetate,파라-크레실 페닐 아세테이트
686,perfumes.note,paradisone,파라디소네
687,perfumes.note,paramela,파라멜라
688,perfumes.note,parsley,파슬리
689,perfumes.note,passion flower,패션 플라워
690,perfumes.note,passionfruit,패션후르츠
691,perfumes.note,pataqueira,파타쿼이라
692,perfumes.note,patchouli,파출리
693,perfumes.note,pea,피
694,perfumes.note,peach,피치
695,perfumes.note,peach blossom,피치 블라섬
696,perfumes.note,peach leaf,피치 리프
697,perfumes.note,peanut,피넛
698,perfumes.note,pear,피어
699,perfumes.note,pear blossom,피어 블라섬
700,perfumes.note,pear ice cream,피어 아이스크림
701,perfumes.note,pear leaf,피어 리프
702,perfumes.note,pear tree,피어 트리
703,perfumes.note,peat,피트
704,perfumes.note,pebbles,페블스
705,perfumes.note,pecan,페이칸
706,perfumes.note,pelargonium,펠라르고늄
707,perfumes.note,peony,피어니
708,perfumes.note,pepper,페퍼
709,perfumes.note,peppertree,페퍼 트리
710,perfumes.note,pepperwood or hercules club,페퍼우드
711,perfumes.note,periwinkle,페리윙클
712,perfumes.note,persimmon,퍼시몬
713,perfumes.note,peru balsam,페루 발삼
714,perfumes.note,petalia,페탈리아
715,perfumes.note,petitgrain,쁘띠 그레인
716,perfumes.note,petunia,피튜니아
717,perfumes.note,phlox,플록스
718,perfumes.note,pimento,피멘토
719,perfumes.note,pimento leaf,피멘토 리프
720,perfumes.note,pimento seeds,피멘토 시드
721,perfumes.note,pina colada,피냐 콜라다
722,perfumes.note,pine tree,파인 트리
723,perfumes.note,pineapple,파인애플
724,perfumes.note,pineapple blossom,파인애플 블라섬
725,perfumes.note,pink pepper,핑크 페퍼
726,perfumes.note,pinot noir grapes,피노 누아르 그레이프
727,perfumes.note,pistachio,피스타치오
728,perfumes.note,pitahaya,피타야
729,perfumes.note,pitanga,피탄가
730,perfumes.note,pittosporum,피토스포룸
731,perfumes.note,plastic,플라스틱
732,perfumes.note,plum,플럼
733,perfumes.note,plum blossom,플럼 블라섬
734,perfumes.note,plum tree,플럼 트리
735,perfumes.note,poinsettia,포인세티아
736,perfumes.note,pollen,팔런
737,perfumes.note,polygonum,폴리그넘
738,perfumes.note,pomarose,포마로즈
739,perfumes.note,pomegranate,파머그래넛
740,perfumes.note,pomegranate blossom,파머그래넛 블라섬
741,perfumes.note,pomelo,포멜로
742,perfumes.note,popcorn,팝콘
743,perfumes.note,poplar (populus) buds,파퓰러 버즈
744,perfumes.note,poppy,퍼피
745,perfumes.note,port wine,포트 와인
746,perfumes.note,portulaca or pigweed,포테리카
747,perfumes.note,powdery notes,파우더리 노트
748,perfumes.note,praline,프랄린
749,perfumes.note,primrose,프림로즈
750,perfumes.note,princess tree (paulownia),프린세스 트리
751,perfumes.note,priprioca,프리프리오카
752,perfumes.note,privet,프리빗
753,perfumes.note,profiterole,프로피트롤
754,perfumes.note,prosecco,프로세소
755,perfumes.note,prunella,프루넬라
756,perfumes.note,pua keni keni (pua-lulu),푸아루루
757,perfumes.note,pumpkin,펌킨
758,perfumes.note,punch,펀치
759,perfumes.note,quince,퀸스
760,perfumes.note,rain notes,레인 노트
761,perfumes.note,rainbow sorbet,레인보우 셔벗
762,perfumes.note,raki,라크
763,perfumes.note,rambutan,람부탄
764,perfumes.note,rangoon creeper,랑군 크래퍼
765,perfumes.note,raspberry,라즈베리
766,perfumes.note,raspberry blossom,라즈베리 블라섬
767,perfumes.note,ravenala,라벤아라
768,perfumes.note,ravensara,라벤사라
769,perfumes.note,red algae,레드 엘쥐
770,perfumes.note,red apple,레드 애플
771,perfumes.note,red berries,레드 배리
772,perfumes.note,red currant,레드 큐란트
773,perfumes.note,red fruits,레드 푸르츠
774,perfumes.note,red willow,레드 윌로우
775,perfumes.note,red wine,레드 와인
776,perfumes.note,reed,리드
777,perfumes.note,reseda,레세다
778,perfumes.note,resins,레진
779,perfumes.note,rhododendron,레두잘프
780,perfumes.note,rhubarb,루바브
781,perfumes.note,rice,라이스
782,perfumes.note,rice pudding,라잇 퍼딩
783,perfumes.note,rooibos red tea,루이보스 레드 티
784,perfumes.note,rosa rubiginosa,로사 루비기노사
785,perfumes.note,rose,로즈
786,perfumes.note,rose hip,로즈 힙
787,perfumes.note,rose jam,로즈 잼
788,perfumes.note,rose japanese (hamanasu),로즈 제페니즈
789,perfumes.note,rose leaf,로즈 리프
790,perfumes.note,rose mallow,로즈 맬로우
791,perfumes.note,rose thorn,로즈 트론
792,perfumes.note,rosebay willowherb,로즈배리 윌로우허브
793,perfumes.note,rosemary,로즈마리
794,perfumes.note,rubber,러버
795,perfumes.note,rue,루
796,perfumes.note,rum,럼
797,perfumes.note,rumex,루멕스
798,perfumes.note,rye,라이
799,perfumes.note,safflower,새프플라워
800,perfumes.note,saffron,샤프론
801,perfumes.note,safraleine,샤프러닌
802,perfumes.note,sage,세이지
803,perfumes.note,sainfoins,세인포인
804,perfumes.note,sake,세이크
805,perfumes.note,salt,솔트
806,perfumes.note,saman,사만
807,perfumes.note,sand,샌드
808,perfumes.note,sandalwood,샌달우드
809,perfumes.note,sangria,상글리아
810,perfumes.note,santolina,산톨리나
811,perfumes.note,sapodilla,사포딜라
812,perfumes.note,satin,새틴
813,perfumes.note,satinwood,새틴우드
814,perfumes.note,satureja,세투레자
815,perfumes.note,saw palmetto,소 팔메토
816,perfumes.note,sea buckthorn,시 벅쏜
817,perfumes.note,sea shells,시 셸
818,perfumes.note,sea water,시 워터
819,perfumes.note,seaweed,시위드
820,perfumes.note,sequoia,세퀴이아
821,perfumes.note,sesame,시샘
822,perfumes.note,shiso,시소
823,perfumes.note,siam,시암
824,perfumes.note,sichuan pepper,쓰촨 페퍼
825,perfumes.note,"sideritis, mountain tea",마운틴 티
826,perfumes.note,silk,실크
827,perfumes.note,silk tree blossom,실크 트리 블라섬
828,perfumes.note,silk vine or milk broom,리크 바인
829,perfumes.note,skin,스킨
830,perfumes.note,skunk cabbage,스컹키 캐비지
831,perfumes.note,slate,슬래이트
832,perfumes.note,smoke,스모크
833,perfumes.note,snake plant,스네이크 플랜트
834,perfumes.note,snow,스노우
835,perfumes.note,snowberry,스노우베리
836,perfumes.note,snowdrops,스노우드롭
837,perfumes.note,sodium silicate,소디엄 실리게이트
838,perfumes.note,solar notes,솔라 노트
839,perfumes.note,solomon`s seal,솔로몬 실
840,perfumes.note,sorbet,소벳
841,perfumes.note,sour cherry,사워 체리
842,perfumes.note,sour cherry blossom,사워 체리 블라섬
843,perfumes.note,soursop,사워삽
844,perfumes.note,soybean,소이빈
845,perfumes.note,spanish broom,스패니쉬 브룸
846,perfumes.note,spicy notes,스파이시 노트
847,perfumes.note,spinach,스피나치
848,perfumes.note,spiraea,스피레아
849,perfumes.note,spray paint,스프레이 플랜드
850,perfumes.note,spruce,스푸르스
851,perfumes.note,spun sugar,스푼 슈거
852,perfumes.note,squash,스쿼시
853,perfumes.note,st. john's wort,세인트 존스 워터
854,perfumes.note,star anise,스타아니스
855,perfumes.note,star apple,스타 애플
856,perfumes.note,starfish,스타피쉬
857,perfumes.note,stephanotis,스테파노티스
858,perfumes.note,strawberry,스트로베리
859,perfumes.note,strawberry leaf,스트로베리 리프
860,perfumes.note,strawberry syrup,스트로베리 시럽
861,perfumes.note,strelitzia,스트렐리치아
862,perfumes.note,strobilanthes callosus,스트로빌란테스 캘로서스
863,perfumes.note,styrax,스트락스
864,perfumes.note,suede,스웨이드
865,perfumes.note,sugar,슈가
866,perfumes.note,sumac,수막
867,perfumes.note,sundew,선듀
868,perfumes.note,sunflower,선플라워
869,perfumes.note,suntan lotion,선탠 로션
870,perfumes.note,surf wax,서프 왁스
871,perfumes.note,sweet grass,스위트 그래스
872,perfumes.note,sweet pea,스위트 피
873,perfumes.note,sycamore,사카모어
874,perfumes.note,sylkolide,실콜라이드
875,perfumes.note,syringa,시링가
876,perfumes.note,syrup,시럽
877,perfumes.note,taif rose,타이프 로즈
878,perfumes.note,takamaka,타카마카
879,perfumes.note,talc,탈크
880,perfumes.note,tamarind,타마린드
881,perfumes.note,tamarisk,타마리스크
882,perfumes.note,tangelo,탄젤로
883,perfumes.note,tangerine,탄젤린
884,perfumes.note,tangerine blossom,탄젤린 블라섬
885,perfumes.note,tansy,탠지
886,perfumes.note,tarragon,타라곤
887,perfumes.note,tayberry,테이베리
888,perfumes.note,tea,티
889,perfumes.note,tea tree oil,티 트리 오일
890,perfumes.note,teak wood,티크 우드
891,perfumes.note,tennis ball,테니스 볼
892,perfumes.note,tequila,테킬라
893,perfumes.note,thailand oud,타일랜드 우드
894,perfumes.note,thistle,씨슬
895,perfumes.note,thuja,슈저
896,perfumes.note,thyme,타임
897,perfumes.note,ti leaf (cordilyne),코르딜리네
898,perfumes.note,tiare flower,티아레 플라워
899,perfumes.note,tiramisu,티라미수
900,perfumes.note,tobacco,토바코
901,perfumes.note,tobacco blossom,토바코 블라섬
902,perfumes.note,toffee,토피
903,perfumes.note,tokaji wine,토카지 와인
904,perfumes.note,tolu balsam,토루 리프
905,perfumes.note,tomato,토마토
906,perfumes.note,tomato leaf,토마토 리프
907,perfumes.note,tonic water,토닉 워터
908,perfumes.note,tonka bean,톤카 빈
909,perfumes.note,toscanol,토스카놀
910,perfumes.note,trillium,트릴리움
911,perfumes.note,tropical fruits,트로피카 푸르츠
912,perfumes.note,truffle,트러플
913,perfumes.note,tuberose,터브로즈
914,perfumes.note,tulip,튤립
915,perfumes.note,tulle accord,툴레 어코드
916,perfumes.note,tulsi,튤시
917,perfumes.note,turnera diffusa (damiana),다미아나
918,perfumes.note,umbu-caja | tapereba,타페레바
919,perfumes.note,valerian,발레리안
920,perfumes.note,vanilla,바닐라
921,perfumes.note,varnish accord,바니쉬 어코드
922,perfumes.note,velvet,벨벳
923,perfumes.note,vermouth,베르무트
924,perfumes.note,vetiver,베티버
925,perfumes.note,vine,바인
926,perfumes.note,vinyl,빈일
927,perfumes.note,violet,바이올렛
928,perfumes.note,violet leaf,바이올렛 리프
929,perfumes.note,violet woodsorrel,바이올렛 우두소렐
930,perfumes.note,vodka,보드카
931,perfumes.note,wallflower,월프 플라워
932,perfumes.note,walnut,월넛
933,perfumes.note,wan sao lhong,완 사오 롱
934,perfumes.note,wasabi,와사비
935,perfumes.note,water,워터
936,perfumes.note,water fruit,워터 푸르츠
937,perfumes.note,water hyacinth,워터 히아신스
938,perfumes.note,water lily,워터 릴리
939,perfumes.note,water pepper,워터 페퍼
940,perfumes.note,watermelon,워터멜론
941,perfumes.note,west indian bay,웨스트 인디안 베이
942,perfumes.note,wet plaster,웻 플래스터
943,perfumes.note,wheat,위트
944,perfumes.note,whiskey,위스키
945,perfumes.note,white chocolate,화이트 초콜릿
946,perfumes.note,white currant,화이트 커런트
947,perfumes.note,white flowers,화이트 플라워
948,perfumes.note,white ginger lily,화이트 진저 릴리
949,perfumes.note,white oud,화이트 오드
950,perfumes.note,white tobacco,화이트 토바코
951,perfumes.note,white willow,화이트 윌로우
952,perfumes.note,white wine,화이트 와인
953,perfumes.note,wild strawberry,와일드 스트로베리
954,perfumes.note,wildflowers,와일드 플라워
955,perfumes.note,wine lees,와인 리스
956,perfumes.note,winterberry,윈터베리
957,perfumes.note,wisteria,위스테리아
958,perfumes.note,wolfberry,울프베리
959,perfumes.note,woody notes,우드 노트
960,perfumes.note,woody zion,우디 시온
961,perfumes.note,wool,울
962,perfumes.note,wormwood,웜우드
963,perfumes.note,wrightia,라이티아
964,perfumes.note,yarrow,얘로
965,perfumes.note,yellow cherry,애로 체리
966,perfumes.note,ylang-ylang,일랑-일랑
967,perfumes.note,yogurt,요거트
968,perfumes.note,yohimbe,요힘베
969,perfumes.note,yumberry,염베리
970,perfumes.note,yunnan red tea,원난 레드 티
971,perfumes.note,yuzu,유즈
972,perfumes.note,yuzu flower,유즈 플라워
973,perfumes.note,zinnia,진니아
